There are 320 equations and the skyline storage is 5292 
Node   x-disp  y-disp 
 1 0.00000000 0.00000000 
 2 0.00000000 0.00000000 
 3 0.00000000 0.00000000 
 4 0.00000000 0.00000000 
 5 0.00000000 0.00000000 
 6 -0.00000000 0.00000008 
 7 0.00000000 -0.00000004 
 8 0.00000000 0.00000008 
 9 0.00000000 0.00000009 
 10 0.00000001 -0.00000000 
 11 0.00000000 -0.00000002 
 12 -0.00000001 -0.00000000 
 13 -0.00000000 0.00000009 
 14 0.00000001 0.00000010 
 15 0.00000000 -0.00000003 
 16 -0.00000001 0.00000010 
 17 0.00000003 0.00000009 
 18 0.00000001 -0.00000001 
 19 0.00000000 -0.00000004 
 20 -0.00000001 -0.00000001 
 21 -0.00000003 0.00000009 
 22 0.00000004 0.00000008 
 23 0.00000000 -0.00000005 
 24 -0.00000004 0.00000008 
 25 0.00000006 0.00000006 
 26 0.00000003 -0.00000004 
 27 0.00000000 -0.00000007 
 28 -0.00000003 -0.00000004 
 29 -0.00000006 0.00000006 
 30 0.00000008 0.00000003 
 31 0.00000000 -0.00000010 
 32 -0.00000008 0.00000003 
 33 0.00000010 -0.00000001 
 34 0.00000005 -0.00000011 
 35 0.00000000 -0.00000014 
 36 -0.00000005 -0.00000011 
 37 -0.00000010 -0.00000001 
 38 0.00000013 -0.00000007 
 39 0.00000000 -0.00000019 
 40 -0.00000013 -0.00000007 
 41 0.00000016 -0.00000013 
 42 0.00000008 -0.00000023 
 43 0.00000000 -0.00000026 
 44 -0.00000008 -0.00000023 
 45 -0.00000016 -0.00000013 
 46 0.00000019 -0.00000022 
 47 0.00000000 -0.00000034 
 48 -0.00000019 -0.00000022 
 49 0.00000023 -0.00000032 
 50 0.00000012 -0.00000041 
 51 0.00000000 -0.00000044 
 52 -0.00000012 -0.00000041 
 53 -0.00000023 -0.00000032 
 54 0.00000027 -0.00000044 
 55 0.00000000 -0.00000056 
 56 -0.00000027 -0.00000044 
 57 0.00000031 -0.00000058 
 58 0.00000016 -0.00000067 
 59 0.00000000 -0.00000070 
 60 -0.00000016 -0.00000067 
 61 -0.00000031 -0.00000058 
 62 0.00000036 -0.00000074 
 63 0.00000000 -0.00000086 
 64 -0.00000036 -0.00000074 
 65 0.00000040 -0.00000092 
 66 0.00000020 -0.00000102 
 67 0.00000000 -0.00000105 
 68 -0.00000020 -0.00000102 
 69 -0.00000040 -0.00000092 
 70 0.00000046 -0.00000113 
 71 0.00000000 -0.00000126 
 72 -0.00000046 -0.00000113 
 73 0.00000051 -0.00000137 
 74 0.00000026 -0.00000147 
 75 0.00000000 -0.00000150 
 76 -0.00000026 -0.00000147 
 77 -0.00000051 -0.00000137 
 78 0.00000057 -0.00000164 
 79 0.00000000 -0.00000176 
 80 -0.00000057 -0.00000164 
 81 0.00000063 -0.00000193 
 82 0.00000032 -0.00000203 
 83 0.00000000 -0.00000206 
 84 -0.00000032 -0.00000203 
 85 -0.00000063 -0.00000193 
 86 0.00000069 -0.00000226 
 87 0.00000000 -0.00000238 
 88 -0.00000069 -0.00000226 
 89 0.00000076 -0.00000262 
 90 0.00000038 -0.00000271 
 91 0.00000000 -0.00000274 
 92 -0.00000038 -0.00000271 
 93 -0.00000076 -0.00000262 
 94 0.00000083 -0.00000301 
 95 0.00000000 -0.00000314 
 96 -0.00000083 -0.00000301 
 97 0.00000091 -0.00000344 
 98 0.00000045 -0.00000354 
 99 0.00000000 -0.00000357 
 100 -0.00000045 -0.00000354 
 101 -0.00000091 -0.00000344 
 102 0.00000098 -0.00000391 
 103 0.00000000 -0.00000404 
 104 -0.00000098 -0.00000391 
 105 0.00000106 -0.00000442 
 106 0.00000053 -0.00000451 
 107 0.00000000 -0.00000454 
 108 -0.00000053 -0.00000451 
 109 -0.00000106 -0.00000442 
 110 0.00000114 -0.00000496 
 111 0.00000000 -0.00000509 
 112 -0.00000114 -0.00000496 
 113 0.00000123 -0.00000555 
 114 0.00000062 -0.00000565 
 115 0.00000000 -0.00000568 
 116 -0.00000062 -0.00000565 
 117 -0.00000123 -0.00000555 
 118 0.00000132 -0.00000619 
 119 0.00000000 -0.00000631 
 120 -0.00000132 -0.00000619 
 121 0.00000141 -0.00000687 
 122 0.00000071 -0.00000696 
 123 0.00000000 -0.00000699 
 124 -0.00000071 -0.00000696 
 125 -0.00000141 -0.00000687 
 126 0.00000151 -0.00000759 
 127 0.00000000 -0.00000772 
 128 -0.00000151 -0.00000759 
 129 0.00000161 -0.00000837 
 130 0.00000080 -0.00000846 
 131 0.00000000 -0.00000849 
 132 -0.00000080 -0.00000846 
 133 -0.00000161 -0.00000837 
 134 0.00000171 -0.00000919 
 135 0.00000000 -0.00000932 
 136 -0.00000171 -0.00000919 
 137 0.00000181 -0.00001007 
 138 0.00000091 -0.00001016 
 139 0.00000000 -0.00001019 
 140 -0.00000091 -0.00001016 
 141 -0.00000181 -0.00001007 
 142 0.00000192 -0.00001100 
 143 0.00000000 -0.00001112 
 144 -0.00000192 -0.00001100 
 145 0.00000203 -0.00001198 
 146 0.00000102 -0.00001207 
 147 0.00000000 -0.00001210 
 148 -0.00000102 -0.00001207 
 149 -0.00000203 -0.00001198 
 150 0.00000215 -0.00001302 
 151 0.00000000 -0.00001314 
 152 -0.00000215 -0.00001302 
 153 0.00000226 -0.00001412 
 154 0.00000113 -0.00001421 
 155 0.00000000 -0.00001424 
 156 -0.00000113 -0.00001421 
 157 -0.00000226 -0.00001412 
 158 0.00000238 -0.00001527 
 159 0.00000000 -0.00001540 
 160 -0.00000238 -0.00001527 
 161 0.00000251 -0.00001650 
 162 0.00000125 -0.00001659 
 163 0.00000000 -0.00001661 
 164 -0.00000125 -0.00001659 
 165 -0.00000251 -0.00001650 
The integration point stresses are:
Element x-coord     y-coord    sig_x   sig_y   tau_xy
1 0.02500000 0.02500000 0.01280797 0.24616299 -0.00542102 
2 0.02500000 -0.02500000 -0.01280797 -0.24616299 -0.00542102 
3 0.07500000 0.02500000 0.01473162 0.25318646 0.01132580 
4 0.07500000 -0.02500000 -0.01473162 -0.25318646 0.01132580 
5 0.12500000 0.02500000 0.03270918 0.24950732 0.00683850 
6 0.12500000 -0.02500000 -0.03270918 -0.24950732 0.00683850 
7 0.17500000 0.02500000 0.04423958 0.25012628 0.00804087 
8 0.17500000 -0.02500000 -0.04423958 -0.25012628 0.00804087 
9 0.22500000 0.02500000 0.05692701 0.24997389 0.00771870 
10 0.22500000 -0.02500000 -0.05692701 -0.24997389 0.00771870 
11 0.27500000 0.02500000 0.06933789 0.25000587 0.00780502 
12 0.27500000 -0.02500000 -0.06933789 -0.25000587 0.00780502 
13 0.32500000 0.02500000 0.08180746 0.24999872 0.00778189 
14 0.32500000 -0.02500000 -0.08180746 -0.24999872 0.00778189 
15 0.37500000 0.02500000 0.09426397 0.25000028 0.00778809 
16 0.37500000 -0.02500000 -0.09426397 -0.25000028 0.00778809 
17 0.42500000 0.02500000 0.10672334 0.24999994 0.00778643 
18 0.42500000 -0.02500000 -0.10672334 -0.24999994 0.00778643 
19 0.47500000 0.02500000 0.11918207 0.25000001 0.00778687 
20 0.47500000 -0.02500000 -0.11918207 -0.25000001 0.00778687 
21 0.52500000 0.02500000 0.13164095 0.24999999 0.00778676 
22 0.52500000 -0.02500000 -0.13164095 -0.24999999 0.00778676 
23 0.57500000 0.02500000 0.14409977 0.25000001 0.00778677 
24 0.57500000 -0.02500000 -0.14409977 -0.25000001 0.00778677 
25 0.62500000 0.02500000 0.15655872 0.24999994 0.00778685 
26 0.62500000 -0.02500000 -0.15655872 -0.24999994 0.00778685 
27 0.67500000 0.02500000 0.16901709 0.25000027 0.00778650 
28 0.67500000 -0.02500000 -0.16901709 -0.25000027 0.00778650 
29 0.72500000 0.02500000 0.18147815 0.24999879 0.00778783 
